ligand,CXCR2inh_dose,slope,DMSO_slope,normalized_dc,Percent Reduction in Motility,Change in Motility,Replicate
EGF,5 nMol,6.306305658,5.993544792,1.052182953,-5.218295307,5.218295307,2
EGF,5 nMol,8.852969728,8.317339965,1.064399167,-6.439916673,6.439916673,3
EGF,5 nMol,6.810453375,6.816227899,0.999152827,0.084717296,-0.084717296,1
EGF,DMSO,5.993544792,5.993544792,1,0,0,2
EGF,DMSO,8.317339965,8.317339965,1,0,0,3
EGF,DMSO,6.816227899,6.816227899,1,0,0,1
EGF_OSM,5 nMol,8.442675152,9.935005731,0.849790667,15.02093325,-15.02093325,2
EGF_OSM,5 nMol,12.58819891,20.80563181,0.60503805,39.49619497,-26.496195,3
EGF_OSM,5 nMol,7.973741302,10.4803323,0.760829053,23.9170947,-23.9170947,1
EGF_OSM,DMSO,9.935005731,9.935005731,1,0,0,2
EGF_OSM,DMSO,20.80563181,20.80563181,1,0,0,3
EGF_OSM,DMSO,10.4803323,10.4803323,1,0,0,1
EGF_OSM_TGFB,5 nMol,14.62755992,16.80956222,0.870192794,12.98072057,-12.98072057,2
EGF_OSM_TGFB,5 nMol,15.13686448,17.30337227,0.874792743,12.52072574,-12.52072574,3
EGF_OSM_TGFB,5 nMol,11.14280655,17.83406527,0.62480463,37.51953704,-23.519537,1
EGF_OSM_TGFB,DMSO,16.80956222,16.80956222,1,0,0,2
EGF_OSM_TGFB,DMSO,17.30337227,17.30337227,1,0,0,3
EGF_OSM_TGFB,DMSO,17.83406527,17.83406527,1,0,0,1
EGF_TGFB,5 nMol,13.35697802,12.17190015,1.097361781,-9.736178071,6.7412998,2
EGF_TGFB,5 nMol,16.45230906,17.95545029,0.916284961,8.371503944,-6.3715039000000004,3
EGF_TGFB,5 nMol,12.60772705,12.34606941,1.021193598,-2.119359813,2.119359813,1
EGF_TGFB,DMSO,12.17190015,12.17190015,1,0,0,2
EGF_TGFB,DMSO,17.95545029,17.95545029,1,0,0,3
EGF_TGFB,DMSO,12.34606941,12.34606941,1,0,0,1
OSM,5 nMol,7.209058647,7.744210644,0.930896508,6.910349191,-6.910349191,2
OSM,5 nMol,10.63467823,11.49513364,0.925146115,7.48538853,-7.48538853,3
OSM,5 nMol,7.808564843,8.020174026,0.973615388,2.638461239,-2.638461239,1
OSM,DMSO,7.744210644,7.744210644,1,0,0,2
OSM,DMSO,11.49513364,11.49513364,1,0,0,3
OSM,DMSO,8.020174026,8.020174026,1,0,0,1
OSM_TGFB,5 nMol,12.34673894,12.817745,0.963253594,3.674640621,3.6746406,2
OSM_TGFB,5 nMol,12.81710529,13.7368419,0.933045993,6.695400734,0.6954007,3
OSM_TGFB,5 nMol,10.73294299,10.26699415,1.045383179,-4.538317904,4.538317904,1
OSM_TGFB,DMSO,12.817745,12.817745,1,0,0,2
OSM_TGFB,DMSO,13.7368419,13.7368419,1,0,0,3
OSM_TGFB,DMSO,10.26699415,10.26699415,1,0,0,1
PBS,5 nMol,3.315755877,3.23315535,1.025547961,-2.554796103,2.554796103,2
PBS,5 nMol,4.674975409,4.883859001,0.957229807,4.277019309,-4.277019309,3
PBS,5 nMol,3.011479233,3.023148021,0.996140186,0.38598136,-0.38598136,1
PBS,DMSO,3.23315535,3.23315535,1,0,0,2
PBS,DMSO,4.883859001,4.883859001,1,0,0,3
PBS,DMSO,3.023148021,3.023148021,1,0,0,1
TGFB,5 nMol,6.059376367,5.685586299,1.065743452,-6.574345162,6.574345162,2
TGFB,5 nMol,6.168084043,7.328463095,0.841661337,15.83386635,-3.8338663,3
TGFB,5 nMol,9.520773115,9.474606277,1.004872692,-0.487269198,0.487269198,1
TGFB,DMSO,5.685586299,5.685586299,1,0,0,2
TGFB,DMSO,7.328463095,7.328463095,1,0,0,3
TGFB,DMSO,9.474606277,9.474606277,1,0,0,1
